rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
20.0,19.68526184,0.0,25,287,7281,652,0.0,0.0,0.009999999776482582,12560,105.2645034790039,0.0003,-295.412841796875,,,
20.0,19.72213022,0.0,25,290,7361,656,0.0,0.0,0.009999999776482582,12720,124.30489349365234,0.0003,-296.2146759033203,,,
20.0,19.27310406,0.0,25,293,7441,660,0.0,0.0,0.009999999776482582,12880,119.08712005615234,0.0003,-296.08094787597656,,,
20.0,19.695420749999997,0.0,25,297,7521,664,0.0,0.0,0.009999999776482582,13040,124.71602630615234,0.0003,-297.71311950683594,,,
20.0,19.15936063,0.0,25,300,7601,668,0.0,0.0,0.009999999776482582,13200,128.67734146118164,0.0003,-300.82757568359375,,,
20.0,20.10621177,0.0,25,303,7681,672,0.0,0.0,0.009999999776482582,13360,120.75617599487305,0.0003,-299.25938415527344,,,
20.0,21.68525564,0.0,25,307,7761,676,0.0,0.0,0.009999999776482582,13520,102.81965255737305,0.0003,-301.0518493652344,,,
20.0,23.301291760000005,0.0,25,310,7841,680,0.0,0.0,0.009999999776482582,13680,120.03224182128906,0.0003,-302.9135284423828,,,
20.0,24.4115345,0.0,25,312,7921,684,0.0,0.0,0.009999999776482582,13840,167.43035888671875,0.0003,-304.40484619140625,,,
20.0,25.820676439999996,0.0,24,322,8001,688,0.0,0.0,0.009999999776482582,14000,105.80135917663574,0.0003,-305.81640625,0.0,20.0,11.087315734010811
20.0,27.01282661,0.0,24,325,8081,692,0.0,0.0,0.009999999776482582,14160,88.45552444458008,0.0003,-307.5297546386719,,,
20.0,28.38220973,0.0,24,328,8161,696,0.0,0.0,0.009999999776482582,14320,104.57379150390625,0.0003,-311.35569763183594,,,
20.0,29.986024290000003,0.0,24,332,8241,700,0.0,0.0,0.009999999776482582,14480,112.42171478271484,0.0003,-309.2020721435547,,,
20.0,31.550730380000005,0.0,24,335,8321,704,0.0,0.0,0.009999999776482582,14640,113.6082878112793,0.0003,-310.08705139160156,,,
20.0,33.212985550000006,0.0,24,339,8401,708,0.0,0.0,0.009999999776482582,14800,94.46118927001953,0.0003,-313.6101837158203,,,
20.0,34.560444200000006,0.0,24,342,8481,712,0.0,0.0,0.009999999776482582,14960,120.33663940429688,0.0003,-315.20689392089844,,,
20.0,34.01103231,0.0,24,346,8561,716,0.0,0.0,0.009999999776482582,15120,147.5473861694336,0.0003,-315.3498992919922,,,
20.0,34.33139369,0.0,24,349,8641,720,0.0,0.0,0.009999999776482582,15280,184.8448486328125,0.0003,-315.46702575683594,,,
20.0,34.622877450000004,0.0,24,353,8721,724,0.0,0.0,0.009999999776482582,15440,137.48207092285156,0.0003,-318.6288146972656,,,
20.0,34.93652173,0.0,24,356,8801,728,0.0,0.0,0.009999999776482582,15600,155.42791748046875,0.0003,-319.45506286621094,,,
20.0,35.007594059999995,0.0,24,359,8881,732,0.0,0.0,0.009999999776482582,15760,184.00233459472656,0.0003,-320.39015197753906,,,
20.0,35.38586785,0.0,24,362,8961,736,0.0,0.0,0.009999999776482582,15920,115.07125473022461,0.0003,-323.59828186035156,,,
20.0,35.333891109999996,0.0,24,366,9041,740,0.0,0.0,0.009999999776482582,16080,122.52544784545898,0.0003,-324.05499267578125,,,
