rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-2.644063070000001,3649,68,53,7.05,572,4.384390830993652,7.870548248291016,0.009999999776482582,0.0003,2648,,,
0.0,-3.0550002000000003,3685,69,53,7.13,576,4.05952262878418,13.83377456665039,0.009999999776482582,0.0003,2684,,,
0.0,-3.0688000099999995,3713,70,53,7.13,580,4.085023880004883,10.252042770385742,0.009999999776482582,0.0003,2712,,,
0.0,-3.3005040299999995,3753,70,53,7.37,584,4.454122543334961,9.425848960876465,0.009999999776482582,0.0003,2752,,,
0.0,-3.6982620600000002,3793,71,53,7.61,588,5.060546875,8.907405853271484,0.009999999776482582,0.0003,2792,,,
0.0,-3.4805865600000008,3810,71,53,7.5,592,4.040841579437256,11.227677345275879,0.009999999776482582,0.0003,2809,,,
0.0,-3.45347151,3839,72,53,7.51,596,4.346184730529785,8.068480491638184,0.009999999776482582,0.0003,2838,,,
0.0,-3.9315843200000007,3867,72,53,7.39,600,4.892841339111328,10.11943531036377,0.009999999776482582,0.0003,2866,,,
0.0,-3.766034360000001,3883,73,53,7.27,604,4.867509841918945,10.945600509643555,0.009999999776482582,0.0003,2882,,,
0.0,-3.6235856200000005,3912,73,53,7.16,608,4.388184547424316,8.160903930664062,0.009999999776482582,0.0003,2911,,,
0.0,-3.8313067300000005,3940,74,53,7.16,612,5.500903129577637,7.151060581207275,0.009999999776482582,0.0003,2939,,,
0.0,-3.70888852,3980,74,53,7.16,616,5.507629871368408,8.963695526123047,0.009999999776482582,0.0003,2979,,,
0.0,-3.891503469999999,4008,77,51,7.27,620,4.671388149261475,9.598485946655273,0.009999999776482582,0.0003,3007,-3.7727638106117496,0.0,7.05
0.0,-3.36498574,4024,77,51,6.91,624,4.533120632171631,9.93630313873291,0.009999999776482582,0.0003,3023,,,
